Iter,V_set,Mu,R_path,log_Q_beta,Real_Q_beta,log_Q_yaw,Real_Q_yaw,log_R_track,Real_R_track,log_R_rate,Real_R_rate,log_W_slip,Real_W_slip,Cost,SI_max,LatErr,Energy,SpdErr,Jerk,Danger
0,30,0.6,60,3.2114,1626.9,4.4986,31524,4.6186,41549,3.3156,2068.1,1.0419,11.012,10992000,0.1379,0.0753,0.022,0.0307,0.0189,0.1966
0,30,0.6,60,4.4972,31423,3.6018,3997.6,4.9362,86333,4.444,27795,3.7222,5274.6,11057000,0.138,0.0753,0.0221,0.0298,0.0191,0.1966
0,30,0.6,60,2.5689,370.62,4.4982,31492,4.9934,98502,3.1672,1469.5,1.7032,50.494,10992000,0.1379,0.0753,0.022,0.0307,0.0189,0.1966
0,30,0.6,60,4.0369,10887,3.1728,1488.8,4.8372,68739,3.0768,1193.4,1.0449,11.09,10992000,0.1379,0.0753,0.022,0.0307,0.0189,0.1966
0,30,0.6,60,2.9616,915.39,4.4449,27858,4.1281,13430,4.155,14289,1.008,10.186,10996000,0.1379,0.0753,0.022,0.0308,0.0201,0.1966
0,30,0.6,60,2.0369,108.87,2.2427,174.86,3.8768,7530.4,3.9531,8976.3,1.0015,10.034,10997000,0.1379,0.0753,0.022,0.0308,0.0201,0.1966
0,30,0.6,60,2.002,100.46,2.5259,335.65,4.7557,56981,3.6987,4997,1.0165,10.388,10991000,0.1379,0.0753,0.022,0.0307,0.0189,0.1966
0,30,0.6,60,2.265,184.07,4.163,14555,4.0235,10556,3.1042,1271,1.0933,12.397,10994000,0.1379,0.0753,0.022,0.0307,0.0189,0.1966
0,30,0.6,60,2.7883,614.18,3.3938,2476.5,3.9893,9757.6,4.4586,28749,1.0112,10.262,11007000,0.1379,0.0753,0.022,0.0309,0.0196,0.1966
0,30,0.6,60,2.3928,247.07,4.4996,31596,3.6414,4379,4.4109,25757,1.0241,10.57,11002000,0.1379,0.0753,0.022,0.031,0.019,0.1966
0,30,0.6,60,2.5683,370.09,4.42,26305,3.808,6426.8,3.363,2306.8,1.0518,11.266,10995000,0.1379,0.0753,0.022,0.0307,0.0188,0.1966
0,30,0.6,60,3.4487,2809.8,2.1394,137.85,1.0001,10.002,4.1755,14978,2.9557,902.96,34470000,0.1379,0.0749,0.0689,0.031,0.0102,0.1966
0,30,0.6,60,2.8436,697.59,4.2136,16352,3.2705,1864.1,3.018,1042.2,4.8568,71906,35650000,0.1383,0.0749,0.0713,0.0199,0.0078,0.1966
0,30,0.6,60,2.1287,134.49,3.9791,9530.8,4.998,99531,3.4418,2765.5,3.0389,1093.6,10999000,0.138,0.0753,0.022,0.0304,0.0187,0.1966
0,30,0.6,60,2.4804,302.26,2.5243,334.42,4.4717,29629,4.0052,10121,2.4508,282.36,11000000,0.138,0.0753,0.022,0.0306,0.0202,0.1966
0,30,0.6,60,3.1084,1283.7,4.1436,13918,4.9988,99720,4.0929,12385,3.4443,2781.7,11013000,0.138,0.0753,0.022,0.0301,0.0199,0.1966
0,30,0.6,60,4.3904,24572,3.9669,9267,4.6771,47543,3.6675,4650.2,3.1069,1279.2,11019000,0.138,0.0753,0.022,0.0303,0.0184,0.1966
0,30,0.6,60,4.1574,14370,2.1185,131.37,4.2846,19256,3.3756,2374.5,1.6299,42.648,10993000,0.1379,0.0753,0.022,0.0307,0.0188,0.1966
0,30,0.6,60,3.9265,8443.8,3.8504,7086.4,4.9996,99903,3.7714,5907.8,2.4038,253.4,10993000,0.1379,0.0753,0.022,0.0306,0.0188,0.1966
0,30,0.6,60,2.5876,386.89,2.7554,569.38,1.0044,10.102,3.7673,5851.7,1.005,10.116,32974000,0.1379,0.0746,0.0659,0.0311,0.0101,0.1966
0,30,0.6,60,2.335,216.25,3.4304,2694,3.882,7621.4,3.1394,1378.4,2.49,309.01,11046000,0.138,0.0753,0.0221,0.0305,0.0183,0.1966
0,30,0.6,60,2.5586,361.9,3.8004,6315.9,1.8508,70.929,3.494,3119,1.0084,10.194,15078000,0.1377,0.0752,0.0302,0.0312,0.0141,0.1966
0,30,0.6,60,2.9155,823.22,4.1998,15840,2.1142,130.07,3.1913,1553.3,1.0078,10.181,11100000,0.1379,0.0753,0.0222,0.0311,0.0174,0.1966
0,30,0.6,60,2.1202,131.9,2.1669,146.85,2.1353,136.56,4.0845,12147,4.9738,94143,31943000,0.1384,0.0748,0.0639,0.0172,0.0069,0.1966
0,30,0.6,60,2.9356,862.19,2.8665,735.4,2.6227,419.51,4.12,13184,1.0005,10.011,11010000,0.1379,0.0752,0.022,0.0311,0.0155,0.1966
0,30,0.6,60,3.1172,1309.6,4.4853,30570,4.9993,99850,4.0213,10502,4.9839,96358,29481000,0.1383,0.0751,0.059,0.0197,0.011,0.1966
0,30,0.7,60,3.0985,1254.5,3.7217,5269,4.9968,99258,3.4708,2956.7,1.1602,14.463,10920000,0.1101,0.0755,0.0218,0.0305,0.0191,0.1685
0,30,0.7,60,3.8104,6462.4,3.9346,8602.9,3.9678,9284.6,3.5351,3428.6,4.7898,61632,41357000,0.1103,0.0752,0.0827,0.0216,0.0089,0.1685
0,30,0.7,60,3.5884,3876.2,3.7057,5077.6,1.1231,13.278,3.0369,1088.6,2.9418,874.55,35445000,0.1101,0.0752,0.0709,0.0309,0.0091,0.1685
0,30,0.7,60,2.4929,311.13,2.5091,322.89,3.6497,4463.8,4.0539,11321,2.1667,146.79,10974000,0.1101,0.0755,0.0219,0.0307,0.0196,0.1685
0,30,0.7,60,2.8169,656.05,3.2835,1920.8,2.0166,103.89,3.3632,2308,4.7764,59763,32585000,0.1103,0.0751,0.0652,0.0215,0.0081,0.1685
0,30,0.7,60,2.0155,103.64,4.4121,25828,1.8742,74.845,4.3561,22706,1.0019,10.044,11629000,0.1101,0.075,0.0233,0.031,0.0104,0.1685
0,30,0.7,60,2.6108,408.11,2.0587,114.46,2.6785,477.03,4.2613,18253,1.0009,10.021,10941000,0.1101,0.0755,0.0219,0.031,0.015,0.1685
0,30,0.7,60,2.0788,119.89,3.6339,4303.9,4.9835,96282,4.0715,11789,1.1034,12.689,10920000,0.1101,0.0755,0.0218,0.0305,0.0191,0.1685
0,30,0.7,60,2.0014,100.33,2.3197,208.77,3.9078,8087.7,3.774,5942.9,1.9574,90.652,10937000,0.1101,0.0755,0.0219,0.0306,0.0188,0.1685
0,30,0.7,60,2.5479,353.07,4.1131,12975,1.8919,77.97,4.3479,22281,1.6112,40.853,26161000,0.1101,0.075,0.0523,0.031,0.0104,0.1685
0,30,0.7,60,3.4779,3005.7,4.4618,28957,4.9818,95902,3.1517,1418.1,1.0078,10.182,10921000,0.1101,0.0755,0.0218,0.0305,0.0192,0.1685
0,30,0.7,60,3.595,3935.8,3.9341,8593,4.999,99773,4.0866,12206,2.4295,268.86,10922000,0.1101,0.0755,0.0218,0.0305,0.019,0.1685
0,30,0.7,60,2.3827,241.37,4.1817,15194,4.3172,20758,3.3068,2026.5,2.2702,186.3,10931000,0.1101,0.0755,0.0219,0.0305,0.019,0.1685
0,30,0.7,60,2.1751,149.66,3.8206,6616.3,3.9113,8151.7,3.1615,1450.6,1.0001,10.003,10923000,0.1101,0.0755,0.0218,0.0306,0.0191,0.1685
0,30,0.7,60,2.0657,116.32,4.29,19500,4.9908,97910,4.3974,24966,2.0714,117.87,10920000,0.1101,0.0755,0.0218,0.0305,0.0205,0.1685
0,30,0.7,60,3.18,1513.5,2.6221,418.93,4.9983,99613,3.3566,2273.1,1.7063,50.854,10921000,0.1101,0.0755,0.0218,0.0305,0.0191,0.1685
0,30,0.7,60,3.2218,1666.6,4.2498,17775,3.9108,8143.8,3.2968,1980.6,2.7019,503.38,11020000,0.1101,0.0755,0.022,0.0304,0.0182,0.1685
0,30,0.7,60,4.1174,13104,3.5453,3510.2,1.0177,10.416,4.0864,12200,1.0011,10.025,32726000,0.1102,0.0748,0.0655,0.031,0.0099,0.1685
0,30,0.7,60,4.4874,30719,2.4183,262.02,4.1005,12605,4.1728,14886,2.2557,180.17,10940000,0.1101,0.0755,0.0219,0.0306,0.0201,0.1685
0,30,0.7,60,2.8004,631.52,2.2941,196.86,2.2653,184.22,3.4706,2955.1,1.0011,10.026,10956000,0.1101,0.0755,0.0219,0.031,0.0172,0.1685
0,30,0.7,60,2.9206,832.9,4.3347,21613,3.3437,2206.3,4.0469,11140,1.0003,10.008,10938000,0.1101,0.0755,0.0219,0.0309,0.0195,0.1685
0,30,0.7,60,3.9357,8623.7,4.2088,16172,4.4008,25164,3.5556,3593.8,1.0045,10.103,10921000,0.1101,0.0755,0.0218,0.0306,0.0191,0.1685
0,30,0.7,60,3.7123,5155.4,2.1274,134.09,4.514,32662,4.0168,10394,2.7325,540.17,10938000,0.1101,0.0755,0.0219,0.0304,0.0203,0.1685
0,30,0.7,60,3.6159,4129.9,2.6124,409.66,4.6986,49963,4.2104,16235,2.4125,258.51,10925000,0.1101,0.0755,0.0218,0.0305,0.0204,0.1685
0,30,0.7,60,2.4868,306.74,3.4783,3008,4.9928,98348,4.3635,23096,3.155,1428.7,10932000,0.1101,0.0755,0.0219,0.0303,0.0202,0.1685
0,30,0.7,60,3.0567,1139.6,2.2894,194.73,4.4583,28730,3.1885,1543.4,1.5822,38.215,10922000,0.1101,0.0755,0.0218,0.0305,0.0191,0.1685
0,30,0.7,60,2.2385,173.18,2.4584,287.33,1.0068,10.157,3.7539,5674.4,4.9947,98798,32009000,0.1104,0.0751,0.064,0.0168,0.0069,0.1685
0,30,0.7,60,2.926,843.4,4.0392,10946,4.9995,99895,3.2159,1644.1,2.8635,730.26,10926000,0.1101,0.0755,0.0219,0.0304,0.019,0.1685
0,30,0.7,60,2.1814,151.83,3.8872,7711.7,3.7319,5394.1,3.0723,1181,1.4405,27.577,10928000,0.1101,0.0755,0.0219,0.0305,0.019,0.1685
0,30,0.7,60,3.5867,3860.6,2.1357,136.68,4.1057,12757,4.1842,15282,1.3558,22.688,10926000,0.1101,0.0755,0.0219,0.0307,0.0203,0.1685
0,30,0.8,60,3.0985,1254.5,3.7217,5269,4.9968,99258,3.4708,2956.7,1.1602,14.463,10869000,0.0946,0.0757,0.0217,0.0304,0.0194,0.1475
0,30,0.8,60,3.9057,8049.1,4.2841,19237,3.2115,1627.4,3.2497,1776.9,2.8001,631.12,24151000,0.0946,0.0756,0.0483,0.0308,0.0155,0.1475
0,30,0.8,60,2.6531,449.86,2.3003,199.66,2.2023,159.34,3.9394,8697.3,3.2952,1973.3,37554000,0.0946,0.0753,0.0751,0.0305,0.0108,0.1475
0,30,0.8,60,4.1639,14583,2.5912,390.16,3.1707,1481.3,3.4909,3096.5,1.3222,21.001,10895000,0.0946,0.0757,0.0218,0.0305,0.0202,0.1475
